Date,Year,Month,Annual Average Inflation,12-Month Inflation
2018-05-01,2018,May,5.61,3.95
2018-06-01,2018,June,5.2,4.28
2018-07-01,2018,July,4.95,4.35
2018-08-01,2018,August,4.63,4.04
2018-09-01,2018,September,4.53,5.7
2018-10-01,2018,October,4.53,5.53
2018-11-01,2018,November,4.59,5.58
2018-12-01,2018,December,4.69,5.71
2019-01-01,2019,January,4.68,4.7
2019-02-01,2019,February,4.65,4.14
2019-03-01,2019,March,4.67,4.35
2019-04-01,2019,April,4.91,6.58
2019-04-01,2019,April,4.91,6.58
2019-05-01,2019,May,5.04,4.49
2019-06-01,2019,June,5.16,5.7
2019-07-01,2019,July,5.32,6.27
2019-08-01,2019,August,5.4,5.0
2019-09-01,2019,September,5.24,3.83
2019-10-01,2019,October,5.19,4.95
2019-11-01,2019,November,5.19,5.56
2019-12-01,2019,December,5.2,5.82
2020-01-01,2020,January,5.29,5.78
2020-02-01,2020,February,5.72,7.17
2020-03-01,2020,March,5.84,5.84
2020-04-01,2020,April,6.03,6.01
2020-05-01,2020,May,6.18,5.33
2020-06-01,2020,June,6.16,4.59
2020-07-01,2020,July,6.01,4.36
2020-08-01,2020,August,5.87,4.36
2020-09-01,2020,September,5.79,4.2
2020-10-01,2020,October,5.67,4.84
2020-11-01,2020,November,5.53,5.33
2020-12-01,2020,December,5.41,5.62
2021-01-01,2021,January,5.74,5.69
2021-02-01,2021,February,5.16,5.78
2021-03-01,2021,March,5.17,5.9
2021-04-01,2021,April,4.66,5.76
2021-05-01,2021,May,5.2,5.87
2021-06-01,2021,June,5.35,6.32
2021-07-01,2021,July,5.53,6.55
2021-08-01,2021,August,5.71,6.57
2021-09-01,2021,September,5.35,6.91
2021-10-01,2021,October,6.07,6.45
2021-11-01,2021,November,6.1,5.8
2021-12-01,2021,December,5.62,5.73
2022-01-01,2022,January,6.08,5.39
